"","DESeq2","edgeR","NOISeq","ttest","voom.limma","PoissonSeq","ABSSeq"
"baseline0_0",762,590,1,593,640,831,0
"baseline1250_0",1559,1270,3238,1229,1324,1515,0
"baseline625_625",1525,1281,6563,1222,1327,1510,0
"baseline4000_0",3453,2645,1186,2845,3048,2789,0
"baseline2000_2000",3107,2826,3405,2614,2870,2857,0
"poisson0_0",410,408,3,527,508,702,7
"poisson625_625",1303,1319,3436,1331,1338,1380,327
"single0_0",1041,731,1,505,574,887,0
"single625_625",1785,1406,4455,1117,1263,1528,0
"random0_0",1999,1275,1,436,469,899,0
"random625_625",2419,1677,5906,909,1032,1269,0
